country_identifier,country_url,country_name
Algeria,https://www.africa-confidential.com/browse-by-country/id/1/Algeria,Algeria
Angola,https://www.africa-confidential.com/browse-by-country/id/2/Angola,Angola
Benin,https://www.africa-confidential.com/browse-by-country/id/3/Benin,Benin
Botswana,https://www.africa-confidential.com/browse-by-country/id/4/Botswana,Botswana
Burkina+Faso,https://www.africa-confidential.com/browse-by-country/id/5/Burkina+Faso,Burkina Faso
Burundi,https://www.africa-confidential.com/browse-by-country/id/6/Burundi,Burundi
Cabo+Verde,https://www.africa-confidential.com/browse-by-country/id/8/Cabo+Verde,Cabo Verde
Cameroon,https://www.africa-confidential.com/browse-by-country/id/7/Cameroon,Cameroon
Central+African+Republic,https://www.africa-confidential.com/browse-by-country/id/9/Central+African+Republic,Central African Republic
Chad,https://www.africa-confidential.com/browse-by-country/id/10/Chad,Chad
Comoros,https://www.africa-confidential.com/browse-by-country/id/11/Comoros,Comoros
Congo-Brazzaville,https://www.africa-confidential.com/browse-by-country/id/12/Congo-Brazzaville,Congo-Brazzaville
Congo-Kinshasa,https://www.africa-confidential.com/browse-by-country/id/53/Congo-Kinshasa,Congo-Kinshasa
C%c3%b4te+d%27Ivoire,https://www.africa-confidential.com/browse-by-country/id/13/C%c3%b4te+d%27Ivoire,Côte d'Ivoire
Djibouti,https://www.africa-confidential.com/browse-by-country/id/15/Djibouti,Djibouti
Egypt,https://www.africa-confidential.com/browse-by-country/id/16/Egypt,Egypt
Equatorial+Guinea,https://www.africa-confidential.com/browse-by-country/id/17/Equatorial+Guinea,Equatorial Guinea
Eritrea,https://www.africa-confidential.com/browse-by-country/id/18/Eritrea,Eritrea
Eswatini,https://www.africa-confidential.com/browse-by-country/id/47/Eswatini,Eswatini
Ethiopia,https://www.africa-confidential.com/browse-by-country/id/19/Ethiopia,Ethiopia
Gabon,https://www.africa-confidential.com/browse-by-country/id/20/Gabon,Gabon
Gambia,https://www.africa-confidential.com/browse-by-country/id/21/Gambia,Gambia
Ghana,https://www.africa-confidential.com/browse-by-country/id/22/Ghana,Ghana
Guinea,https://www.africa-confidential.com/browse-by-country/id/23/Guinea,Guinea
Guinea+Bissau,https://www.africa-confidential.com/browse-by-country/id/24/Guinea+Bissau,Guinea Bissau
Kenya,https://www.africa-confidential.com/browse-by-country/id/25/Kenya,Kenya
Lesotho,https://www.africa-confidential.com/browse-by-country/id/26/Lesotho,Lesotho
Liberia,https://www.africa-confidential.com/browse-by-country/id/27/Liberia,Liberia
Libya,https://www.africa-confidential.com/browse-by-country/id/28/Libya,Libya
Madagascar,https://www.africa-confidential.com/browse-by-country/id/29/Madagascar,Madagascar
Malawi,https://www.africa-confidential.com/browse-by-country/id/30/Malawi,Malawi
Mali,https://www.africa-confidential.com/browse-by-country/id/31/Mali,Mali
Mauritania,https://www.africa-confidential.com/browse-by-country/id/32/Mauritania,Mauritania
Mauritius,https://www.africa-confidential.com/browse-by-country/id/33/Mauritius,Mauritius
Morocco,https://www.africa-confidential.com/browse-by-country/id/34/Morocco,Morocco
Mozambique,https://www.africa-confidential.com/browse-by-country/id/35/Mozambique,Mozambique
Namibia,https://www.africa-confidential.com/browse-by-country/id/36/Namibia,Namibia
Niger,https://www.africa-confidential.com/browse-by-country/id/37/Niger,Niger
Nigeria,https://www.africa-confidential.com/browse-by-country/id/38/Nigeria,Nigeria
Rwanda,https://www.africa-confidential.com/browse-by-country/id/39/Rwanda,Rwanda
S%c3%a3o+Tom%c3%a9+%26+Pr%c3%adncipe,https://www.africa-confidential.com/browse-by-country/id/40/S%c3%a3o+Tom%c3%a9+%26+Pr%c3%adncipe,São Tomé & Príncipe
Senegal,https://www.africa-confidential.com/browse-by-country/id/41/Senegal,Senegal
Seychelles,https://www.africa-confidential.com/browse-by-country/id/42/Seychelles,Seychelles
Sierra+Leone,https://www.africa-confidential.com/browse-by-country/id/43/Sierra+Leone,Sierra Leone
Somalia,https://www.africa-confidential.com/browse-by-country/id/44/Somalia,Somalia
South+Africa,https://www.africa-confidential.com/browse-by-country/id/45/South+Africa,South Africa
South+Sudan,https://www.africa-confidential.com/browse-by-country/id/62/South+Sudan,South Sudan
Sudan,https://www.africa-confidential.com/browse-by-country/id/46/Sudan,Sudan
Tanzania,https://www.africa-confidential.com/browse-by-country/id/48/Tanzania,Tanzania
Togo,https://www.africa-confidential.com/browse-by-country/id/49/Togo,Togo
Tunisia,https://www.africa-confidential.com/browse-by-country/id/50/Tunisia,Tunisia
Uganda,https://www.africa-confidential.com/browse-by-country/id/51/Uganda,Uganda
Western+Sahara,https://www.africa-confidential.com/browse-by-country/id/52/Western+Sahara,Western Sahara
Zambia,https://www.africa-confidential.com/browse-by-country/id/54/Zambia,Zambia
Zimbabwe,https://www.africa-confidential.com/browse-by-country/id/55/Zimbabwe,Zimbabwe
