title,author_name,author_url,publication_date,description,category,image_url,url,countries,content_preview,source,lang,content,source_name
Benin vs Rwanda: Gernot Rohr Unveils 25-Player Squad of the Squirrels,,,1728126932,"Ahead of the double-header against the Squirrels of Benin, who will take on the Rwandan national football team during the third and fourth matches of the...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.footboom1.com/en/news/football/1894750-benin-vs-rwanda-gernot-rohr-unveils-25-player-squad-of-the-squirrels&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQICBAC&usg=AOvVaw3NIPnBKOMf7mePd_q-Up6Y,Benin,,google_news,en,From Google News,FootBoom
"Benin man Ofure Akpolo jailed for $22,297.97 internet fraud",,,1728112532,"Court sentences Ofure Prince Akpolo to three years imprisonment over involvement in $22297.97 internet fraud in Benin, Edo State.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://pmnewsnigeria.com/2024/10/05/benin-man-ofure-akpolo-jailed-for-22297-97-internet-fraud/&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQICRAC&usg=AOvVaw3WKrUx28j05ns5zfAy976Q,Benin,,google_news,en,From Google News,PM News Nigeria
"Benin Court Jails Man For $22,297.97 Internet Fraud",,,1728116132,Justice W.I. Aziegbemhin of the Edo State High Court has sentenced Ofure Prince Akpolo to three years in prison for retaining proceeds of crime totalling...,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://newtelegraphng.com/benin-court-jails-man-for-22297-97-internet-fraud/&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQIARAC&usg=AOvVaw1qqFkwQcc1qfaapdG5Xvgv,Benin,,google_news,en,From Google News,New Telegraph
From Benin to the World: Gbriel’s Gospel Music Ministry,,,1728058532,"Aideyan Gabriel Osuyi, known professionally as Gbriel, is a Nigeria-born and UK-based gospel singer, songwriter, and music director inspiring countless...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.thisdaylive.com/index.php/2024/10/04/from-benin-to-the-world-gbriels-gospel-music-ministry/&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQIABAC&usg=AOvVaw2I2vQNzuB3GPb9U3TYCa8c,Benin,,google_news,en,From Google News,THISDAYLIVE
Ammunition depot manager course kicks off in Benin,,,1728058532,"Following discussions between Direction of Materiel, two trainings has been identified, such as optronic workshop and ammunition depot manager”.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.eeas.europa.eu/eeas/ammunition-depot-manager-course-kicks-benin_en&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQIBBAC&usg=AOvVaw3f8TAl4_MwG7j8Yp4CDE4V,Benin,,google_news,en,From Google News,EEAS
Coup d'État déjoué au Bénin: Le parti les démocrates brise le silence,,,1728058532,Le parti Les Démocrates dénonce le flou artistique et la confusion qui entourent le coup d'état déjoué impliquant Olivier Boko et Oswald Homeky au Bénin.,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.youtube.com/watch%3Fv%3DfdGUBajTjxA&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQIBhAC&usg=AOvVaw2JICd7DfzSm23efrC2-u2b,Benin,,google_news,en,From Google News,YouTube
"NPFL 25: Insurance Coach, Monday Odigie Ask For More Support After Shooting Stars Fall in Benin",,,1727972132,"Bendel Insurance Football Club coach Monday Odigie has asked for more support after Bendel Insurance secured 1-0 victory over Shooting Stars on Wednesday,...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.sports247.ng/npfl-25-insurance-coach-monday-odigie-ask-for-more-support-after-shooting-stars-fall-in-benin/&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQIAhAC&usg=AOvVaw3e9DrcxVq5TMgG5d-vK0uD,Benin,,google_news,en,From Google News,Sports247 Nigeria
Alleged Coup Plot Rocks Benin’s Political Landscape,,,1727972132,Two figures close to Benin's President Patrice Talon have been remanded in custody following accusations of orchestrating a coup attempt.,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://medafricatimes.com/36640-alleged-coup-plot-rocks-benins-political-landscape.html&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQIAxAC&usg=AOvVaw0XJ_EU_kAyCkaAFlG5908M,Benin,,google_news,en,From Google News,Medafrica Times
"Gov. Obaseki, in new interview, reacts to speculations of rift with Benin royal palace over artefacts (VIDEO)",,,1727972132,"Governor Obaseki, despite the whirlwind of his government responsibilities, recently broke his silence to confront a storm of swirling misconceptions and...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.withinnigeria.com/entertainment/2024/10/03/gov-obaseki-in-new-interview-reacts-to-speculations-of-rift-with-benin-royal-palace-over-artefacts-video/&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQIBxAC&usg=AOvVaw3MxwQOI0Z0RIZxlceKr7WG,Benin,,google_news,en,From Google News,Within Nigeria
Benin President’s Close Associates Sentenced for Alleged Coup Plot,,,1727972132,"Two associates of Benin's President Patrice Talon have been jailed on suspicions of plotting a coup. The two men – Olivier Boko, a businessman and Talon's...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://iafrica.com/benin-presidents-close-associates-sentenced-for-alleged-coup-plot/&ved=2ahUKEwi60vqQxPeIAxU8SDABHTVXCA4QxfQBegQIBRAC&usg=AOvVaw03f-QX2GvIVsM3fSHN7oUa,Benin,,google_news,en,From Google News,iAfrica
