title,author_name,author_url,publication_date,description,category,image_url,url,country,content_preview,extractor,lang,content,source
AFCON 2025 Qualifiers: What can Amavubi do to beat Benin in Abidjan?| The New Times,,,1728516227,Head coach Torsten gives instructions to the players during their first training session in Ivory coast ahead of their clash against Benin at Felix...,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.newtimes.co.rw/article/20792/sports/football/afcon-2025-qualifiers-what-can-amavubi-do-to-beat-benin-in-abidjan&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQIBhAC&usg=AOvVaw1aD2KoDFpz0MoUrTsdZLDN,Benin,,google_news,en,,The New Times
"Preview: Benin vs. Rwanda - prediction, team news, lineups",,,1728516047,"Sports Mole previews Friday's Africa Cup of Nations Qualifying clash between Benin and Rwanda, including predictions, team news and possible lineups.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.sportsmole.co.uk/football/benin/africa-cup-of-nations/preview/preview-benin-vs-rwanda-prediction-team-news-lineups_555084.html&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQICRAC&usg=AOvVaw0dLJiTGqaVMrFvmvIiG21D,Benin,,google_news,en,,Sports Mole
Nigerian Navy repairs Benin Republic ship to strengthen bilateral relations,,,1728516587,"The Nigerian Naval Dockyard Ltd. (NDL) says it has repaired, refurbished, and handed over a ship belonging to the Benin Republic...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://headtopics.com/ng/nigerian-navy-repairs-benin-republic-ship-to-strengthen-60094626&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQIBxAC&usg=AOvVaw2JMJcnCtAMcM4uGYSgD3eX,Benin,,google_news,en,,Head Topics
Signing of Contracts with Technical Staff of National Technical Departments - 24 HOURS IN BENIN,,,1728516227,"The Ministry of Sports, under the leadership of Benoît DATO, has taken a decisive step in the structuring of national sports as of Tuesday, October 8,...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.footboom1.com/en/news/football/1912115-signing-of-contracts-with-technical-staff-of-national-technical-departments-24-hours-in-benin&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQIBBAC&usg=AOvVaw0ZzfQ5lSpi_lnCIrXImJrl,Benin,,google_news,en,,FootBoom
Nigerian Navy repairs Benin Republic ship to strengthen bilateral relations,,,1728516167,"The Nigerian Naval Dockyard Ltd. (NDL) says it has repaired, refurbished, and handed over a ship belonging to the Benin Republic...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.thecable.ng/nigerian-navy-repairs-benin-republic-ship-to-strengthen-bilateral-relations/&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQIAhAC&usg=AOvVaw0JXnSvFwKXuMpXd288bO9V,Benin,,google_news,en,,TheCable
Benin vs Rwanda Prediction and Betting Tips | October 11th 2024,,,1728509389,Benin and Rwanda will battle for three points in a 2025 Africa Cup of Nations qualifier on Friday.,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.sportskeeda.com/football/benin-vs-rwanda-prediction-betting-tips-october-11th-2024&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQIAxAC&usg=AOvVaw0_cHLfWMSRNXkVvypw3sbz,Benin,,google_news,en,,Sportskeeda
"Benin vs Rwanda – Preview, Prediction And Betting Tips 11/10/2024",,,1728509389,"Benin will host Rwanda for Cup of Nations Qualification Round 3. Date: 11/10/2024 Time:16:00 Venue: Stade Félix Houphouеt-Boigny ,Abidjan.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://ghanasoccernet.com/bookmaker-ratings/tips/benin-vs-rwanda-preview-prediction-and-betting-tips-11-10-2024/&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQIABAC&usg=AOvVaw2XzPzYF2RiZzqdhvdzQP6b,Benin,,google_news,en,,GhanaSoccernet
"Nigerian Navy helps Benin Republic repair ship, vows to strengthen collaboration",,,1728505789,"The repairs were divided into two phases of three ships each with Phase 1 comprising BNS PENDJARI, BNS COUFFO and BNS MBK. Nigerian Navy helps Benin...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.pulse.ng/news/local/nigerian-navy-helps-benin-republic-repair-ship-vows-more-collaboration/qck4gr3&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQIBRAC&usg=AOvVaw2CXfBqzS0NTv0zPhOxJN_Y,Benin,,google_news,en,,Pulse Nigeria
"Governor-elect Monday Okpebholo, Deputy Present Certificates Of Return To Benin Monarch",,,1728498589,"Omo N' Oba N' Edo, Uku Akpolokpolo, Ewuare II, CFR, Oba of Benin, on Monday, charged the Edo State governor-elect, Senator Monday Okpebholo, to fulfil his.",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://tstga.com/politics/governor-elect-monday-okpebholo-deputy-present-certificates-of-return-to-benin-monarch/&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQIARAC&usg=AOvVaw3cIw3_affXzCN4t7Q2jtuZ,Benin,,google_news,en,,Teldem Communications Limited
"NCA launches ECOWAS “Free Roaming Initiative” among Ghana, Benin and Togo",,,1728498589,"By Ernest Nutsugah. Accra, Oct. 09, GNA – The National Communications Authority (NCA) has started implementing the ECOWAS “Free Roaming Initiative” to...",,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://gna.org.gh/2024/10/nca-launches-ecowas-free-roaming-initiative-among-ghana-benin-and-togo/&ved=2ahUKEwjf6ufUrIKJAxWfW0EAHeZdFRUQxfQBegQICBAC&usg=AOvVaw08wb3Sk0_oYG0NBtErfk1_,Benin,,google_news,en,,Ghana News Agency
