title,author_name,author_url,publication_date,description,category,image_url,url,country,content_preview,extractor,lang,content,source
"Algérie : à 91 ans, l’ex-ministre Dahou Ould Kablia prend de nouvelles fonctions",,,9 oct. 2024,"Après plusieurs tentatives infructueuses de révision des codes communal et de wilaya, Abdelmadjid Tebboune a choisi l’ancien ministre de l’Intérieur pour présider la commission chargée des amendements, dans la perspective de procéder au redécoupage administratif du pays et d’organiser les prochaines élections.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/08/jad20241008-mmo-algerie-legislatives-dahououldkablia.jpg",https://www.jeuneafrique.com/1617901/politique/algerie-a-91-ans-lex-ministre-dahou-ould-kablia-prend-de-nouvelles-fonctions/,Algérie,,jeuneafrique,fr,,
Pourquoi l’Algérie renonce aux Brics mais pas à sa banque,,,8 oct. 2024,"Alors que la candidature d’Alger pour intégrer les Brics a été rejetée en 2023, Abdelmadjid Tebboune a décidé de tourner la page. Et ce malgré la récente adhésion de son pays à la banque de développement de l’organisation.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.6737x0.3704/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/08/jad-20241008-mmo-algerie-eco-brics.jpg",https://www.jeuneafrique.com/1618350/economie-entreprises/pourquoi-alger-renonce-aux-brics-mais-pas-a-sa-banque/,Algérie,,jeuneafrique,fr,,
"Algérie : la chute vertigineuse de Farid Bencheikh, de l’ordre du mérite à la prison militaire",,,8 oct. 2024,"Placé en détention fin septembre par le juge d’instruction du tribunal militaire de Blida, l’ancien patron de la police nationale est accusé de conspiration contre les institutions de l’État. Un chef d’inculpation en rupture avec l’image publique et le parcours fulgurant de ce criminologue aux compétences reconnues.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/07/jad-20241007-mmo-algerie-politique-bencheikh.png",https://www.jeuneafrique.com/1617437/politique/algerie-la-chute-vertigineuse-de-farid-bencheikh-de-lordre-du-merite-a-la-prison-militaire/,Algérie,,jeuneafrique,fr,,
Le pape François nomme cardinaux les archevêques d’Abidjan et d’Alger,,,7 oct. 2024,"Le chef de l’Église catholique a annoncé, dimanche 6 octobre, la nomination prochaine de 21 nouveaux cardinaux venant du monde entier. Parmi eux, Mgr Jean-Paul Vesco et Mgr Ignace Bessi Dogbo, qui officient respectivement en Algérie et en Côte d’Ivoire.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.4205x0.4034/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/07/afp__20241006__36jd8yx__v2__preview__vaticanpopereligionangelus.jpg",https://www.jeuneafrique.com/1617484/societe/le-pape-francois-nomme-cardinaux-les-archeveques-dabidjan-et-dalger/,Algérie,,jeuneafrique,fr,,
Algérie : le président Tebboune écarte l’idée d’une visite en France,,,6 oct. 2024,"Le président algérien Abdelmadjid Tebboune a écarté, samedi lors d’un entretien télévisé, l’idée d’une visite en France, qu’il a jugée humiliante dans le contexte de relations de nouveau très tendues entre les deux pays.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/06/ja_afp__20240917___algerianpresidenttebbounesworni.jpg",https://www.jeuneafrique.com/1617359/politique/algerie-le-president-tebboune-ecarte-lidee-dune-visite-en-france/,Algérie,,jeuneafrique,fr,,
La plainte de l’Algérie contre la députée européenne Sarah Knafo a été classée sans suite,,,3 oct. 2024,"Le parquet de Paris a annoncé avoir classé la plainte formulée par Alger après les propos de la parlementaire d’extrême-droite, car il ne s’agissait pas d’un mensonge, mais « d’une information insuffisamment vérifiée et plutôt imprécise ».",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/03/afp__20240907__36ft4dt__v1__highres__francepoliticsreconquete.jpg",https://www.jeuneafrique.com/1616510/politique/la-plainte-de-lalgerie-contre-la-deputee-europeenne-sarah-knafo-a-ete-classee-sans-suite/,Algérie,,jeuneafrique,fr,,
"Gazoduc transsaharien : face à la concurrence du Maroc, l’Algérie tente de relancer son « projet stratégique »",,,30 sept. 2024,"À l’heure où Rabat s’apprête à annoncer une décision budgétaire concernant le Nigeria-Maroc Gas Pipeline (NMGP), Alger entend réactiver les réunions tripartites avec Niamey et Abuja autour de son propre mégachantier gazier.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/30/jad-20240930-mmo-algerie-petrole-et-gaz.jpg",https://www.jeuneafrique.com/1615033/economie-entreprises/gazoduc-transsaharien-face-a-la-concurrence-du-maroc-lalgerie-tente-de-relancer-son-projet-strategique/,Algérie,,jeuneafrique,fr,,
Algérie-Maroc : et maintenant la guerre des visas,,,27 sept. 2024,"Le ministère algérien des Affaires étrangères a décidé d’imposer un visa d’entrée aux ressortissants marocains, accusés de « trafic de drogue » et d’ « espionnage ». Surprenante, cette mesure est toutefois loin d’être une première dans l’histoire des relations entre les deux pays.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/27/jad-20240927-mmo-algerie-politique-frontiere-visa.jpg",https://www.jeuneafrique.com/1614245/politique/algerie-maroc-et-maintenant-la-guerre-des-visas/,Algérie,,jeuneafrique,fr,,
"Algérie : qui est le général Rochdi Fethi Moussaoui, nouveau patron des renseignements extérieurs ?",,,27 sept. 2024,"Nommé ce mercredi 25 septembre en remplacement du général-major M’henna Djebbar à la tête de la DGDSE, le général de 47 ans, fils d’une figure de la révolution algérienne, est un pur produit de la maison. Passé par Berlin et Paris, il cultive une image de discrétion parfaitement adaptée à ses fonctions.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/26/jad-20240926-mmo-algerie-securite-nomination.jpg",https://www.jeuneafrique.com/1614069/politique/algerie-qui-est-le-general-rochdi-fethi-moussaoui-nouveau-patron-des-renseignements-exterieurs/,Algérie,,jeuneafrique,fr,,
"L’Algérie porte plainte contre Sarah Knafo, compagne de Zemmour, pour fake news",,,25 sept. 2024,L’État algérien a décidé de déposer une plainte à Paris contre l’eurodéputée d’extrême droite pour propagation de fausses informations sur le montant des aides au développement accordées par la France à l’Algérie. ,,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/25/jad20240925-mmo-algerie-plainte-sarahknafo.jpg",https://www.jeuneafrique.com/1613522/politique/algerie-france-alger-porte-plainte-contre-sarah-knafo-compagne-de-zemmour-pour-fake-news/,Algérie,,jeuneafrique,fr,,
