title,author_name,author_url,publication_date,description,category,image_url,url,countries,content_preview,source,lang,content,source_name
"En Tunisie, qui sont les électeurs qui s’apprêtent à (re)voter Kaïs Saied ?",,,1706223600,"Si les candidats d’opposition, ou ceux qui n’ont pas pu se présenter, font régulièrement l’actualité tunisienne, les partisans du président sortant, qui brigue sa propre réélection, restent nombreux, et se recrutent dans différentes catégories de la population. Qui sont-ils et quel bilan tirent-ils du premier mandat de leur favori ?",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/25/jad20240925-mmo-tunisie-elections-kaissaied.jpg",https://www.jeuneafrique.com/1613435/politique/en-tunisie-qui-sont-les-electeurs-qui-sappretent-a-revoter-kais-saied/,tunisia,,jeuneafrique,fr,,
Umaro Sissoco Embaló : « La stigmatisation de la communauté peule doit cesser »,,,1673046000,"Transitions après les coups d’État en Afrique de l’Ouest, progression du terrorisme, sentiment anti-français… De passage à Paris, le président de la Guinée-Bissau, qui achève son mandat à la tête de la Cedeao, a accordé un entretien exclusif à JA.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2023/07/03/jad20230703-ass-itv-embalo-sissoco-photo-1.jpg",https://www.jeuneafrique.com/1458236/politique/umaro-sissoco-embalo-la-stigmatisation-de-la-communaute-peule-doit-cesser/,liberia,,jeuneafrique,fr,,
"Au Mali, Choguel Maïga annonce un sursis aux écoles catholiques",,,1705964400,"Après plusieurs semaines d’incertitudes et de tensions, les autorités sont revenues sur leur décision, Assimi Goïta ayant décidé de maintenir la subvention aux écoles catholiques pour l’année scolaire 2024-2025.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/08/23/jad20240823-ass-mali-annonce-surcis-ecoles.jpg",https://www.jeuneafrique.com/1601736/politique/au-mali-choguel-maiga-annonce-un-sursis-aux-ecoles-catholiques/,mali,,jeuneafrique,fr,,
Bassirou Diomaye Faye promet de « traquer » les trafiquants de migrants,,,1705014000,Le président sénégalais s’est rendu sur le lieu du dernier naufrage de migrants qui aurait fait une quarantaine de morts et de nombreux disparus. Il a appelé les jeunes à rester au pays et à ne pas céder à « l’illusion » d’un avenir meilleur ailleurs.,,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/12/jad20240912-ass-senegal-bassirou-faye-mbour.jpg",https://www.jeuneafrique.com/1608034/politique/bassirou-dimoaye-faye-promet-de-traquer-les-trafiquants-de-migrants/,senegal,,jeuneafrique,fr,,
"Diomaye Faye dans la Silicon Valley, voyage au centre de la tech",,,1704236400,"Le président du Sénégal a effectué fin septembre une tournée au cœur de l’innovation technologique américaine. Une visite éclair qui l’a amené à rencontrer les dirigeants de géants du secteur, dont Nvidia, Google et Meta, ainsi que des investisseurs.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/03/jad-2041003-ass-senegal-technologie-silicon.jpg",https://www.jeuneafrique.com/1616254/economie-entreprises/diomaye-faye-dans-la-silicon-valley-voyage-au-centre-de-la-tech/,sierra leone,,jeuneafrique,fr,,
"Au Tchad, les élections législatives auront lieu en décembre",,,1705878000,"La dernière élection législative a eu lieu en 2011. Depuis 2021, c’est le Parlement de transition qui gère les affaires courantes du pays.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/05/24/tchad-investiture-midi.jpg",https://www.jeuneafrique.com/1601046/politique/au-tchad-les-elections-legislatives-auront-lieu-en-decembre/,chad,,jeuneafrique,fr,,
"Photographie : 1978, ségrégation et haine raciale en Afrique du Sud sous le regard d’Abbas",,,1706310000,"Chaque semaine en juillet et en août, Jeune Afrique vous présente une photographie iconique. Aujourd’hui, l’école de police d’Hammanskraal, en plein apartheid, vue par le photographe iranien.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5106x0.4201/https://prod.cdn-medias.jeuneafrique.com/medias/2024/06/26/jad20240626-culture-serie-photo-4-8.jpg",https://www.jeuneafrique.com/1578922/culture/photographie-1978-segregation-et-haine-raciale-en-afrique-du-sud-sous-le-regard-dabbas/,south africa,,jeuneafrique,fr,,
"Édouard Maunick, cette mort qu’il détestait",,,1611356400,"L’un de ses derniers recueils de poésie s’appelait « 50 quatrains pour narguer la mort ». Le 10 avril dernier, elle a fini par gagner la partie. Reste l’œuvre de ce grand auteur mauricien.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2021/04/23/jad20210423-cm-hommage-edouardmaunick.jpg",https://www.jeuneafrique.com/1159838/culture/edouard-maunick-cette-mort-quil-detestait/,mauritius,,jeuneafrique,fr,,
"Les Seychelles finalement épargnées par la peste, les écoles rouvrent leurs portes",,,1484784000,"Des tests sur deux cas présumés de peste se sont révélés négatifs, a déclaré le gouvernement seychellois ce 18 octobre. Les écoles, fermées la semaine dernière de crainte d’une propagation de l’épidémie qui sévit dans l’île voisine de Madagascar, ont rouvert.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2017/10/13/sipa_ap21183988_000003.jpg",https://www.jeuneafrique.com/484625/societe/les-seychelles-finalement-epargnees-par-la-peste-les-ecoles-rouvrent-leurs-portes/,seychelles,,jeuneafrique,fr,,
"Au Zimbabwe, des élections générales tendues",,,1674428400,"Les Zimbabwéens élisent leur président, leur Parlement et leurs élus locaux. La Zanu-PF, au pouvoir depuis l’indépendance en 1980, compte bien y rester.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2023/08/23/elections-zim.jpg",https://www.jeuneafrique.com/1475497/politique/au-zimbabwe-des-elections-generales-tendues/,zimbabwe,,jeuneafrique,fr,,
