title,author_name,author_url,publication_date,description,category,image_url,url,country,content_preview,extractor,lang,content,source
"Cesária Évora, la diva aux pieds nus comme rarement vue",,,2023-01-01,"Dans un documentaire truffé d’images d’archives personnelles et inédites, la réalisatrice portugaise Ana Sofia Fonseca brosse le portrait intime de celle qui a inscrit le Cap-Vert sur la carte du monde.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.3249x0.2825/https://prod.cdn-medias.jeuneafrique.com/medias/2023/11/29/jad20231129-cm-cap-vert-cesaria-evora-01.jpg",https://www.jeuneafrique.com/1509536/culture/cesaria-evora-la-diva-aux-pieds-nus-comme-rarement-vue/,cabo verde,,jeuneafrique,fr,,
"Entre Tidjane Thiam et Jean-Louis Billon, l’impossible choix de Jacques Ehouo ?",,,2024-01-27,"Le maire du Plateau affiche sa loyauté envers Tidjane Thiam, sans pour autant renoncer à son amitié pour Jean-Louis Billon. Comme lui, de nombreux cadres sont tiraillés entre les deux hommes, qui espèrent être le candidat du PDCI à la présidentielle d’octobre 2025 en Côte d’Ivoire.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.3230x0.2615/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/20/jad20240920-ass-civ-jacques-ehouo-le-choix.jpg",https://www.jeuneafrique.com/1613045/politique/entre-tidjane-thiam-et-jean-louis-billon-limpossible-choix-de-jacques-ehouo/,ghana,,jeuneafrique,fr,,
"Pour la compagnie aérienne Asky, la liaison Lomé-Paris est imminente",,,2024-01-25,"La compagnie aérienne basée au Togo s’affaire à inaugurer la ligne Lomé-Paris. Une destination hors Afrique qui interviendra dans un climat d’augmentation de la desserte avec Lomé-Pointe-Noire, le 2 octobre prochain.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2023/08/21/jad20230821-eco-togo-aviation-asky.jpg",https://www.jeuneafrique.com/1592500/economie-entreprises/pour-la-compagnie-aerienne-asky-la-liaison-lome-paris-est-imminente/,togo,,jeuneafrique,fr,,
"Patricia Balme, l’éternelle spin doctor de Paul Biya",,,2024-01-09,"Durant des décennies, elle a accompagné plusieurs chefs d’État africains parmi lesquels le Sénégalais Macky Sall, l’Ivoirien Alassane Ouattara et le Camerounais Paul Biya. Mais qui est donc cette stratège de l’ombre, et comment a-t-elle su s’imposer comme une alliée de confiance du maître d’Etoudi ? Portrait.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.4278x0.2630/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/04/jad20241004-ass-cameroun-patriciabalme.jpg",https://www.jeuneafrique.com/1603362/politique/patricia-balme-leternelle-spin-doctor-de-paul-biya/,cameroon,,jeuneafrique,fr,,
Matina Razafimahefa : « L’Afrique doit créer ses propres géants du numérique »,,,2024-01-15,"L’ACTU VUE PAR – La directrice générale de Sayna revient sur son parcours et les défis rencontrés actuellement pour développer l’éducation numérique en Afrique. De Madagascar à Paris, elle forme des milliers de jeunes aux compétences numériques et les aide à monétiser leurs connaissances pour transformer leur avenir.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/06/15/2.jpg",https://www.jeuneafrique.com/1577957/economie-entreprises/matina-razafimahefa-lafrique-doit-creer-ses-propres-geants-du-numerique/,madagascar,,jeuneafrique,fr,,
"Innocent Kabandana et Pascal Muhizi, ces officiers rwandais qui font échec aux jihadistes",,,2021-01-10,"« Game changers » (5/7). Au Mozambique, le général major et le brigadier général ont incarné l’efficacité de l’armée rwandaise, qui met un point d’honneur à participer aux opérations de maintien de la paix sur le continent.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2021/12/07/serie_5.jpg",https://www.jeuneafrique.com/1271760/politique/game-changers-innocent-kabandana-et-pascal-muhizi-ces-officiers-rwandais-qui-font-echec-aux-jihadistes/,mozambique,,jeuneafrique,fr,,
"Sécurité, crise en Libye, économie et Tshisekedi : les grands enjeux du sommet de l’UA à Addis-Abeba",,,2019-01-08,"Premier voyage à Addis-Abeba pour Félix Tshisekedi, début de la présidence continentale pour Abdel Fattah al-Sissi, et même candidature inédite du roi d’Eswatini Mswati III pour lui succéder… Le 32e sommet de l’Union africaine devrait être celui des nouveautés.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2019/02/08/ua-moussa.jpg",https://www.jeuneafrique.com/732241/politique/securite-crise-en-libye-economie-et-tshisekedi-les-grands-enjeux-du-sommet-de-lua-a-addis-abeba/,eswatini,,jeuneafrique,fr,,
"En Côte d’Ivoire, la Fesci sur la sellette après le meurtre d’un étudiant",,,2024-01-03,"La mort d’un membre du plus grand syndicat étudiant de Côte d’Ivoire, en conflit avec son secrétaire général, relance le débat sur l’avenir de cette organisation aussi influente que controversée. Le gouvernement a été contraint de prendre des mesures drastiques.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/10/03/jad20241003-ass-civ-meurtre-etudiant-abidjan-1.jpg",https://www.jeuneafrique.com/1616197/politique/en-cote-divoire-la-fesci-sur-la-sellette-apres-le-meurtre-dun-etudiant/,ghana,,jeuneafrique,fr,,
"Au Liberia, un tribunal pourrait bientôt juger les crimes de la guerre civile",,,2024-01-06,Les victimes le réclament depuis plus de vingt ans : la Chambre basse du Parlement libérien a adopté mardi 5 mars une motion pour créer un tribunal spécialisé dans les crimes de la guerre civile.,,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/01/22/afp__20231007__33xm3mq__v2__highres__topshotliberiapoliticselection.jpg",https://www.jeuneafrique.com/1544436/politique/au-liberia-un-tribunal-pourrait-bientot-juger-les-crimes-de-la-guerre-civile/,liberia,,jeuneafrique,fr,,
"AES : pendant que Goïta rêve d’un passeport commun, Emptech lorgne le marché malien",,,2024-01-18,"Le concepteur chinois qui vient de livrer un prototype de passeport électronique aux Burkinabè, tente depuis plusieurs semaines de se positionner sur le marché malien. Et ce, malgré la récente annonce d’Assimi Goïta concernant un projet de passeport commun à l’Alliance des États du Sahel.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/18/jad20240918-eco-passeport-biometrique-aes.jpg",https://www.jeuneafrique.com/1609305/economie-entreprises/aes-pendant-que-goita-reve-dun-passeport-commun-emptech-lorgne-le-marche-malien/,nigeria,,jeuneafrique,fr,,
